CVM,Ticker
21180,NEXP3
12190,BOBR3
25712,GGPS3
14869,COCE3
25518,WEST3
16705,YBRA3B
24295,VBBR3
23612,MSRO3
25186,GMAT3
22357,ALSO3
6211,FRAS3
25542,LLBI3
701,BAHI3
25119,MELK3
5207,DOHL3
24660,BBML3
24694,SBFG3
25984,CBAV3
20257,TAEE11
22500,BPHA3
6076,FNCN3
16993,EMAE3
23248,ANIM3
24260,SMFT3
906,BBDC3
14605,ENMT3
24090,PARD3
25526,CSED3
8575,LEVE3
80152,PPLA11
6629,HETA3
94,PATI3
20605,JHSF3
16101,GFSA3
21121,SULA11
17671,VIVT3
20036,AGRO3
24805,VIVA3
25127,PASS3
11312,OIBR3
21091,DXCO3
11258,TELB3
24180,IRBR3
19836,CSAN3
13366,HAGA3
15091,LTEL3B
23507,OFSA3
26247,PORT3
16284,QVQP3B
4863,CORR3
3077,CEDO3
5380,EALT3
25860,BRBI11
25453,INTB3
80020,GPIV33
20770,EZTC3
8893,MOAR3
23795,CXSE3
1570,BAUH3
23302,QUSW3
26026,DESK3
18775,IVPR3B
19208,CRTE3B
20346,PFRM3
21431,HYPE3
14346,WHRL3
6700,HOOT3
25259,ENJU3
8656,GOAU3
20370,LPSB3
25232,CASH3
12823,APTI3
24783,NTCO3
21008,GSHP3
8605,MTIG3
25038,LJQQ3
23590,WIZS3
7811,JFEN3
25658,AGXY3
1562,BALM3
23310,CVCB3
80209,NUBR33
3204,EEEL3
12653,KLBN11
9954,RPAD3
19879,LIGT3
25674,HMOB3
18538,MNZC3B
6173,TASA3
23523,PSVM11
21610,B3SA3
22608,PGMN3
18759,BSCS-CRIT2B0
20990,AMER3
16608,EQMA3B
1155,BEES3
18139,CSRN3
23981,CTCA3
25844,TEGA3
26093,CLSA3
18333,PRPT3B
20338,MDIA3
13773,PTBL3
19615,GRND3
18368,GEPA3
19623,DASA3
17329,EGIE3
20567,PINE3
14362,CEPE3
25046,DMVF3
20362,POSI3
19445,CSMG3
18597,DTCY3
17973,COGN3
25070,PLPL3
15423,ATOM3
21040,SYNE3
25887,NINJ3
26050,FIQE3
11070,WLMM3
13986,SUZB3
9083,NORD3
8397,MGEL3
11592,UNIP3
15300,FRRN3B
19992,TOTS3
25330,ALLD3
2453,CMIG3
12319,BLUT3
25550,ORVR3
26140,GETT11
23264,ABEV3
8133,LREN3
19100,ATMP3
25160,SEQL3
25399,NGRD3
5410,WEGE3
8753,MTSA3
22179,AFLT3
13854,MAPT3
8192,LUXM3
25569,ELMD3
23493,DMMO3
20478,PDGR3
14818,CMSA3
17493,CPTP3B
25135,BOAS3
22780,UCAS3
7544,TXRX3
25755,MODL11
26123,ONCO3
25534,OPCT3
922,BAZA3
19305,BIOM3
7510,ROMI3
24627,BLAU3
4537,CGRA3
24872,LMED3
20621,FHER3
11991,MWET3
2437,ELET3
11398,CRPG3
19348,ITUB3
24236,PRNR3
14206,BSLI3
22764,GAFL-CRA1DB0
23817,BRQB3
10456,ALPA3
22594,STKF3
6815,IGBR3
22799,SQIA3
18465,UGPA3
3395,CATA3
25372,ASAI3
22365,ENAT3
21342,OSXB3
21148,TEND3
20435,TCSA3
11975,AZEV3
4723,CALI3
80195,G2DI33
20060,LUPA3
25585,CMIN3
24201,STTR3
14460,CYRE3
9067,NEMO3
20800,TGMA3
1694,BMKS3
16306,RSID3
14451,CEBR3
4782,MEND3
17485,EKTR3
18406,RBRA-CRA19B0
18660,CPFE3
3190,REDE3
22160,PLSC-CRI1CB0
8540,MERC3
20630,CRDE3
24600,BMGB4
24058,AALR3
19119,CABI3B
19925,BRPR3
20125,ODPV3
24929,TIMS3
9989,RPMG3
18724,BRAP3
4030,CSNA3
24112,AZUL4
22675,HBSA3
15458,EPAR3
26441,MEGA3
9342,PNVL3
25801,RBNS11
22012,MILS3
1325,BMEB3
25208,TFCO4
18376,TRPL3
14524,CEEB3
26620,AURE3
1520,BDLL3
15253,ENGI11
19658,FRTA3
26085,BRIT3
20524,EVEN3
19232,PRMN3B
24546,PTCA11
11231,TKNO3
5770,EUCA3
19097,CAIA3B
4669,GUAR3
22470,MGLU3
14320,USIM3
25003,SIMH3
24317,BKBR3
20788,MRFG3
2100,CAMB3
13765,MNPR3
4693,ODER3
21237,ENEV3
25836,DOTZ3
25690,MATD3
14311,CPLE11
11207,TCNO3
22217,APER3
20184,CCXC3
25402,HBRE3
8451,POMO3
26280,COMR3
23159,BBSE3
23965,CNSY3
22616,BPAC11
25291,RRRP3
15636,CGAS3
21067,MDNE3
17965,OPGM3B
7870,KEPL3
19453,ECOR3
26077,TRAD3
1384,BRIV3
20958,ABCB4
24392,HAPV3
16861,CASN3
3891,CRIV3
3050,CBEE3
17949,MRSA3B
16292,BRFS3
23175,IGSN3
24961,AMBP3
22497,QUAL3
8427,ESTR3
17914,MMXM3
25445,ESPA3
23574,MEAL3
21016,YDUQ3
25879,KRSA3
25283,AERI3
18309,EQPA3
3069,FESA3
20702,VIVR3
22055,AMAR3
25089,PETZ3
6343,TUPY3
16632,DEXP3
16438,OPTS3B
20966,SGPS3
9393,PMAM3
14109,RAPT3
4820,BRKM3
22454,SHOW3
26000,LAND3
25682,VVEO3
18708,PEAB3
1309,BMIN3
25640,AESB3
5762,ETER3
11223,TEKA3
25011,SOMA3
3654,MSPA3
18821,CCRO3
25500,BMOB3
22187,PRIO3
13439,RSUL3
3980,GGBR3
25704,SOJA3
20044,CARD3
24848,CEAB3
21350,DIRR3
19135,CACO3B
19909,BRML3
19763,ENBR3
24279,INNT3
4707,BRGE11
21733,CIEL3
19569,GOLL3
15539,NEOE3
22519,TECN3
20028,VLID3
20010,EQTL3
16586,OPSE3B
25933,GRAO3
1210,BRSR3
1228,BNBR3
20648,CEED3
19739,RENT3
26174,AESO3
20613,FRIO3
15369,VSPT3
25950,TTEN3
22349,ARZZ3
20087,EMBR3
21393,GPAR3
22985,NRTQ3
19330,TPIS3
20877,HBOR3
21199,BPAN4
11932,MYPK3
14443,SBSP3
12572,RCSL3
21334,NUTR3
18414,PDTC3
1023,BBAS11
25100,CURY3
21130,TRIS3
