Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 2488453 "," 2427188 "," 778415 "
1.01," Ativo Circulante "," 1430646 "," 1449748 "," 174208 "
1.01.01," Caixa e Equivalentes de Caixa "," 1266045 "," 1300085 "," 56847 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 120424 "," 111748 "," 100131 "
1.01.03.01," Clientes "," 120424 "," 111748 "," 100131 "
1.01.03.01.01," Clientes "," 123443 "," 115617 "," 103297 "
1.01.03.01.02," Partes Relacionadas "," 262 "," 164 "," 133 "
1.01.03.01.03," Provisão para Perdas de Créditos Esperadas "," -3281 "," -4033 "," -3299 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 29688 "," 21817 "," 1431 "
1.01.06.01," Tributos Correntes a Recuperar "," 29688 "," 21817 "," 1431 "
1.01.07," Despesas Antecipadas "," 11785 "," 13188 "," 14465 "
1.01.08," Outros Ativos Circulantes "," 2704 "," 2910 "," 1334 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 2704 "," 2910 "," 1334 "
1.01.08.03.01," Outros Ativos "," 2704 "," 2910 "," 1334 "
1.02," Ativo Não Circulante "," 1057807 "," 977440 "," 604207 "
1.02.01," Ativo Realizável a Longo Prazo "," 125133 "," 52992 "," 34494 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 11399 "," 14232 "," 6912 "
1.02.01.04.01," Clientes "," 11399 "," 14232 "," 6912 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 97764 "," 22157 "," 18945 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 97764 "," 22157 "," 18945 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 15970 "," 16603 "," 8637 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos Judiciais "," 15287 "," 15647 "," 8637 "
1.02.01.10.04," Impostos a Recuperar "," 683 "," 956 "," 0 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 27102 "," 32534 "," 27706 "
1.02.03.01," Imobilizado em Operação "," 14044 "," 17704 "," 15748 "
1.02.03.01.01," Benfeitorias em Imóveis de Terceiros "," 3400 "," 4161 "," 2919 "
1.02.03.01.02," Máquinas e Equipamentos "," 375 "," 504 "," 550 "
1.02.03.01.03," Instalações "," 332 "," 395 "," 296 "
1.02.03.01.04," Móveis e Utensílios "," 722 "," 917 "," 686 "
1.02.03.01.05," Equipamentos de Informática "," 9215 "," 11727 "," 11297 "
1.02.03.02," Direito de Uso em Arrendamento "," 13058 "," 14830 "," 11958 "
1.02.03.02.01," Direito de Uso de Imóvel "," 13058 "," 14830 "," 11958 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 905572 "," 891914 "," 542007 "
1.02.04.01," Intangíveis "," 905572 "," 891914 "," 542007 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Base de Dados "," 320448 "," 342422 "," 384665 "
1.02.04.01.03," Marcas, Direitos, Patentes e Outros "," 30252 "," 32228 "," 130 "
1.02.04.01.04," Software "," 206445 "," 193756 "," 9261 "
1.02.04.01.05," Ágio na Combinação de Negócios "," 266039 "," 288097 "," 110182 "
1.02.04.01.06," Software e Carteira de Clientes Identificado em Combinação de Negócios "," 1071 "," 1048 "," 3561 "
1.02.04.01.07," Novos Produtos "," 60361 "," 24737 "," 0 "
1.02.04.01.08," Intangível em Andamento "," 20956 "," 9626 "," 34208 "
1.02.04.02," Goodwill "," "," "," "
