Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 144172 "," 100554 "," 121711 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -107342 "," -78068 "," -76432 "
3.03," Resultado Bruto "," 36830 "," 22486 "," 45279 "
3.04," Despesas/Receitas Operacionais "," -67061 "," -88099 "," -86155 "
3.04.01," Despesas com Vendas "," -19668 "," -17597 "," -22872 "
3.04.02," Despesas Gerais e Administrativas "," -46828 "," -52172 "," -54709 "
3.04.02.01," Despesas Administrativas "," -46828 "," -52172 "," -54709 "
3.04.02.02," Remuneração dos Administradores "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 24344 "," 27626 "," 17180 "
3.04.05," Outras Despesas Operacionais "," -25229 "," -46526 "," -26283 "
3.04.06," Resultado de Equivalência Patrimonial "," 320 "," 570 "," 529 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -30231 "," -65613 "," -40876 "
3.06," Resultado Financeiro "," -6396 "," -5359 "," 3975 "
3.06.01," Receitas Financeiras "," 9791 "," 7851 "," 9179 "
3.06.02," Despesas Financeiras "," -16187 "," -13210 "," -5204 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -36627 "," -70972 "," -36901 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 4114 "," 16138 "," 317 "
3.08.01," Corrente "," -420 "," -531 "," -1039 "
3.08.02," Diferido "," 4534 "," 16669 "," 1356 "
3.09," Resultado Líquido das Operações Continuadas "," -32513 "," -54834 "," -36584 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -32513 "," -54834 "," -36584 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -32513 "," -54834 "," -36584 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -4.46319 "," -7.52727 "," -5.02200 "
3.99.01.02," PN "," -0.61304 "," -1.03390 "," -0.68980 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -4.46319 "," -7.52727 "," -5.02200 "
3.99.02.02," PN "," -0.61304 "," -1.03390 "," -0.68980 "
