Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2650805 "," 1421989 "," 1181499 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1.249.944 "," -683.538 "," -671.584 "
3.03," Resultado Bruto "," 1400861 "," 738451 "," 509915 "
3.04," Despesas/Receitas Operacionais "," -1.119.717 "," -620.272 "," -389.945 "
3.04.01," Despesas com Vendas "," -167.485 "," -81.758 "," -109.983 "
3.04.02," Despesas Gerais e Administrativas "," -864.273 "," -338.271 "," -281.898 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -141.849 "," -85.528 "," 0 "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 54434 "," -111.130 "," 4399 "
3.04.06," Resultado de Equivalência Patrimonial "," -544 "," -3.585 "," -2.463 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 281144 "," 118179 "," 119970 "
3.06," Resultado Financeiro "," -413.604 "," -154.524 "," -126.292 "
3.06.01," Receitas Financeiras "," 76051 "," 45585 "," 27125 "
3.06.02," Despesas Financeiras "," -489.655 "," -200.109 "," -153.417 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -132.460 "," -36.345 "," -6.322 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 51132 "," -4.306 "," -3.271 "
3.08.01," Corrente "," -8.259 "," -166 "," 0 "
3.08.02," Diferido "," 59391 "," -4.140 "," -3.271 "
3.09," Resultado Líquido das Operações Continuadas "," -81.328 "," -40.651 "," -9.593 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -81.328 "," -40.651 "," -9.593 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -87.665 "," -41.108 "," -9.593 "
3.11.02," Atribuído a Sócios Não Controladores "," 6337 "," 457 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.24000 "," -0,39000 "," -0,12000 "
3.99.01.02," PN "," 0.00000 "," 0.00000 "," -0,12000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0,24000 "," -0,39000 "," 0.00000 "
3.99.02.02," PN "," "," "," "
