Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","26/08/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2635688 "," 0 "," 0 "
3.01.01," Receitas de Serviços "," 2635688 "," 0 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.03," Resultado Bruto "," 2635688 "," 0 "," 0 "
3.04," Despesas/Receitas Operacionais "," -1473126 "," -267073 "," -37278 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -1473126 "," -267073 "," -37278 "
3.04.02.01," Despesas Gerais e Administrativas "," -1461528 "," -255266 "," -37278 "
3.04.02.02," Despesas Tributárias "," -11598 "," -11807 "," 0 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1162562 "," -267073 "," -37278 "
3.06," Resultado Financeiro "," -5263 "," -256 "," 0 "
3.06.01," Receitas Financeiras "," 14819 "," 4729 "," 0 "
3.06.01.01," Receitas Financeiras "," 14819 "," 4729 "," 0 "
3.06.02," Despesas Financeiras "," -20082 "," -4985 "," 0 "
3.06.02.01," Despesas Financeiras "," -20082 "," -4985 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1157299 "," -267329 "," -37278 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -270192 "," 0 "," 0 "
3.08.01," Corrente "," -270192 "," 0 "," 0 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 887107 "," -267329 "," -37278 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 887107 "," -267329 "," -37278 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 88.71070 "," -26.73290 "," -37.27800 "
3.99.02," Lucro Diluído por Ação "," "," "," "
